moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,34976,0.314596,0.973769,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,34977,0.866054,0.973769,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,34978,0.821925,0.973769,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,34979,0.71459,0.973769,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,34980,0.902894,0.973769,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,34983,0.743161,0.881414,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,34984,0.816497,0.881414,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,34985,0.923186,0.881414,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,34986,0.923186,0.881414,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,34987,0.971825,0.881414,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,34988,0.857493,0.881414,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,34989,0.872872,0.881414,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,34990,0.857493,0.881414,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,34991,0.919455,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,34992,0.947373,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,34993,0.5,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35004,0.826394,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35005,0.784465,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35006,0.833688,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35007,0.87646,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35008,0.933333,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35009,0.966092,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35010,0.966092,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35011,0.966092,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35012,0.345033,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35013,0.898146,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35014,0.898146,0.937661,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,35015,0.966092,0.952482,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,35016,0.881917,0.952482,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,35017,0.954792,0.952482,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,35018,0.954792,0.952482,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,35019,0.966092,0.952482,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,35020,0.881917,0.952482,0,Timestamp('15:00:')
