moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,21225,0.977802,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21226,0.892607,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21227,0.944911,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21228,0.933333,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21229,0.881917,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21230,0.966092,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21231,0.933333,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21232,0.977802,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21233,0.892607,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21234,0.954792,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21250,0.954792,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21251,0.977802,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21252,0.419058,0.941248,0,Timestamp('09:00:')
EM-PL-TM103,EMA2252M10022,21272,0.934199,0.946354,0,Timestamp('10:00:')
EM-PL-TM103,EMA2252M10022,21273,0.568535,0.946354,0,Timestamp('10:00:')
EM-PL-TM103,EMA2252M10022,21274,0.920358,0.946354,0,Timestamp('10:00:')
EM-PL-TM103,EMA2252M10022,21275,0.907485,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21276,0.942809,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21277,0.92376,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21278,0.978492,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21279,0.989071,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21280,1.0,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21281,0.912871,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21322,0.963087,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21323,0.917914,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21324,0.92376,0.951156,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,21325,0.948683,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21326,0.989071,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21327,1.0,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21328,0.912871,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21329,0.791257,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21330,0.816497,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21331,0.954792,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21332,0.933859,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21333,0.874818,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21334,0.902894,0.916994,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,21335,0.923133,0.916994,0,Timestamp('12:00:')
