moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,37274,0.923186,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37275,0.93724,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37276,0.923186,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37277,0.96214,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37278,0.977255,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37279,0.984136,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37280,0.992583,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37281,0.986431,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37282,0.984136,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37283,0.992583,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37284,0.992583,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37291,0.953313,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37292,0.96214,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37293,0.986431,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37294,0.798584,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37295,0.979864,0.967114,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,37296,0.971909,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37297,0.911296,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37298,0.897235,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37299,0.973729,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37300,0.885438,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37301,0.981495,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37302,0.973729,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37303,0.990867,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37304,0.904534,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37305,0.948683,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37306,0.956365,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37310,0.908688,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37311,0.885438,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37312,0.971825,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37313,0.973729,0.949397,0,Timestamp('17:00:')
EM-PL-TM103,EMA2252M10022,37317,0.905789,0.925258,0,Timestamp('18:00:')
EM-PL-TM103,EMA2252M10022,37318,0.984136,0.925258,0,Timestamp('18:00:')
EM-PL-TM103,EMA2252M10022,37319,0.722222,0.925258,0,Timestamp('18:00:')
EM-PL-TM103,EMA2252M10022,37320,0.911685,0.925258,0,Timestamp('18:00:')
EM-PL-TM103,EMA2252M10022,37321,0.92582,0.925258,0,Timestamp('18:00:')
EM-PL-TM103,EMA2252M10022,37322,0.836515,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37323,0.977255,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37324,0.408248,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37325,0.968963,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37326,0.912421,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37327,0.990867,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37328,0.990867,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37329,0.99146,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37330,0.917914,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37331,0.96833,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37332,0.845154,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37359,0.921443,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37360,0.845154,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37361,0.927426,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37362,0.852013,0.920304,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,37363,0.92376,0.920304,0,Timestamp('19:00:')
