moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,33809,1.0,0.91465,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,33810,0.8,0.91465,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,33811,0.780869,0.91465,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,33812,0.943119,0.91465,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,33813,0.794719,0.91465,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,33814,0.83666,0.91465,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,33815,0.857195,0.91465,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,33816,0.954792,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33817,0.912871,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33818,0.917914,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33819,0.904534,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33820,0.952786,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33821,0.963087,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33822,0.99146,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33823,0.958315,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33842,0.963087,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33843,0.989071,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33844,0.989071,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33845,0.912871,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33846,0.963087,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33847,0.958315,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33848,0.963087,0.903879,0,Timestamp('06:00:')
EM-PL-TM103,EMA2252M10022,33849,0.989071,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33850,0.989071,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33851,1.0,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33852,0.912871,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33853,0.963087,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33854,0.874818,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33855,0.952786,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33856,0.952786,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33888,0.99146,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33889,0.933333,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33890,0.869918,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33891,0.922225,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33892,0.852013,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33893,0.894427,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33894,0.845154,0.998344,0,Timestamp('07:00:')
EM-PL-TM103,EMA2252M10022,33895,0.978492,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33896,0.953313,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33897,0.989071,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33898,0.952786,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33899,0.917914,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33900,0.904534,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33901,0.92376,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33902,0.724462,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33936,0.933139,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33937,0.963087,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33938,0.99146,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33939,0.80829,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33940,0.65938,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33941,0.952579,0.961506,0,Timestamp('08:00:')
EM-PL-TM103,EMA2252M10022,33942,0.765092,0.961506,0,Timestamp('08:00:')
