moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,28112,0.787309,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28113,0.917365,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28114,0.898909,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28115,0.883183,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28116,0.919219,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28161,0.935414,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28162,0.917365,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28163,0.981981,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28164,0.959645,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28165,0.959645,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28166,0.815112,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28167,0.933139,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28168,0.947373,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28169,0.896421,0.986431,0,Timestamp('14:00:')
EM-PL-TM103,EMA2252M10022,28170,0.952661,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28171,0.971825,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28172,0.872872,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28173,0.952661,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28174,0.92582,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28213,0.956689,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28214,0.885722,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28215,0.981981,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28216,0.934929,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28217,0.959645,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28218,0.964901,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28219,0.981981,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28220,0.908688,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28221,0.88083,0.996373,0,Timestamp('15:00:')
EM-PL-TM103,EMA2252M10022,28222,0.93724,0.991029,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,28223,0.971825,0.991029,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,28224,0.882596,0.991029,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,28225,0.990867,0.991029,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,28226,0.96833,0.991029,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,28232,0.96833,0.991029,0,Timestamp('16:00:')
EM-PL-TM103,EMA2252M10022,28233,0.956689,0.991029,0,Timestamp('16:00:')
