moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,40312,0.67082,0.633253,0,Timestamp('02:00:')
EM-PL-TM103,EMA2252M10022,40313,0.614295,0.633253,0,Timestamp('02:00:')
EM-PL-TM103,EMA2252M10022,40314,0.907959,0.633253,0,Timestamp('02:00:')
EM-PL-TM103,EMA2252M10022,40315,0.892607,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40316,0.966092,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40317,0.944911,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40318,0.966092,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40319,0.966092,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40320,0.977802,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40321,0.977802,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40322,0.977802,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40323,0.977802,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40324,0.977802,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40338,0.977802,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40339,0.977802,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40340,0.977802,0.975496,0,Timestamp('03:00:')
EM-PL-TM103,EMA2252M10022,40341,0.977802,0.901422,0,Timestamp('04:00:')
EM-PL-TM103,EMA2252M10022,40342,0.768273,0.901422,0,Timestamp('04:00:')
EM-PL-TM103,EMA2252M10022,40343,0.808736,0.901422,0,Timestamp('04:00:')
EM-PL-TM103,EMA2252M10022,40344,0.759072,0.901422,0,Timestamp('04:00:')
EM-PL-TM103,EMA2252M10022,40345,0.894427,0.901422,0,Timestamp('04:00:')
EM-PL-TM103,EMA2252M10022,40346,0.798024,0.901422,0,Timestamp('04:00:')
