moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,30852,0.977802,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30853,0.977802,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30854,0.907959,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30855,0.907959,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30856,0.389723,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30857,0.747904,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30858,0.798195,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30859,0.407375,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30871,0.707209,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30872,0.74255,0.973559,0,Timestamp('11:00:')
EM-PL-TM103,EMA2252M10022,30873,0.730189,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30874,0.908565,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30875,0.96029,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30876,0.96029,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30877,0.881695,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30878,0.92719,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30879,0.731352,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30880,0.869922,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30881,0.668124,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30882,0.778082,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30883,0.908565,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30884,0.816376,0.885636,0,Timestamp('12:00:')
EM-PL-TM103,EMA2252M10022,30968,0.447214,0.725298,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,30969,0.755929,0.725298,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,30970,0.803605,0.725298,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,30971,0.957427,0.725298,0,Timestamp('13:00:')
EM-PL-TM103,EMA2252M10022,30972,0.194422,0.725298,0,Timestamp('13:00:')
