moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,35210,2.0,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35211,0.771517,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35212,0.857493,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35213,0.933139,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35214,0.48107,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35215,0.701334,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35216,0.82885,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35217,0.83666,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35218,0.809345,2,0,Timestamp('05:00:')
EM-PL-TM103,EMA2252M10022,35219,0.885422,2,0,Timestamp('05:00:')
