moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged,measurementDate
EM-PL-TM103,EMA2252M10022,43885,0.919239,0.9635,0,Timestamp('18:00:')
EM-PL-TM103,EMA2252M10022,43886,0.808736,0.9635,0,Timestamp('18:00:')
EM-PL-TM103,EMA2252M10022,43887,0.690066,0.9635,0,Timestamp('18:00:')
EM-PL-TM103,EMA2252M10022,43888,0.784465,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43889,0.805387,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43890,0.782794,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43891,0.662122,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43892,0.894427,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43893,0.816497,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43894,0.862075,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43916,0.893237,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43917,0.722315,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43918,0.849837,0.934808,0,Timestamp('19:00:')
EM-PL-TM103,EMA2252M10022,43919,0.847319,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43920,0.818923,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43921,0.933139,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43922,0.635085,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43923,0.828079,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43924,0.860946,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43925,0.943119,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43926,0.860946,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43927,0.943119,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43928,0.759072,0.98838,0,Timestamp('20:00:')
EM-PL-TM103,EMA2252M10022,43959,0.583212,0.784547,0,Timestamp('21:00:')
EM-PL-TM103,EMA2252M10022,43960,0.759072,0.784547,0,Timestamp('21:00:')
EM-PL-TM103,EMA2252M10022,43961,0.678401,0.784547,0,Timestamp('21:00:')
EM-PL-TM103,EMA2252M10022,43962,0.907115,0.784547,0,Timestamp('21:00:')
